Name,Artist,Popularity,img,Release date,Genre,Subgenre
Ballin' (with Roddy Ricch),Mustard,90,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162,2019-06-28,rap,hip hop
Jangueo,Alex Rose,76,https://i.scdn.co/image/ab67616d0000b273462c6ba1c246cc8aeb62086c,2019-11-08,latin,latin pop
Bandit (with YoungBoy Never Broke Again),Juice WRLD,92,https://i.scdn.co/image/ab67616d0000b2735b4bee4c0dfe7f1ec4b2cc6d,2019-10-04,pop,dance pop
Pa' Olvidarme De Ella,Piso 21,86,https://i.scdn.co/image/ab67616d0000b27326dfdcfae1c961172197a362,2019-09-06,latin,latin pop
Boy With Luv (feat. Halsey),BTS,85,https://i.scdn.co/image/ab67616d0000b27329d00196831bec20ebbff5c7,2019-04-12,pop,dance pop
Thinking out Loud,Ed Sheeran,67,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,2013,pop,post-teen pop
Hips Don't Lie (feat. Wyclef Jean),Shakira,80,https://i.scdn.co/image/ab67616d0000b27327ddd747545c0d0cfe7595fa,2005-11-28,pop,post-teen pop
Starboy,The Weeknd,84,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,2016-11-25,pop,post-teen pop
Every Breath You Take,The Police,67,https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,2017-10-27,pop,electropop
BOP,DaBaby,93,https://i.scdn.co/image/ab67616d0000b273f2b94b2fda4f08836d6371ba,2019-09-27,rap,hip hop
Fuck Love (feat. Trippie Redd),XXXTENTACION,84,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,2017-08-25,rap,trap
Do I Wanna Know?,Arctic Monkeys,82,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,2013-09-09,rock,permanent wave
Take on Me,a-ha,83,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,1985-06-01,pop,post-teen pop
Watermelon Sugar,Harry Styles,90,https://i.scdn.co/image/ab67616d0000b2737cf2b9825bb43083d123ac22,2019-11-17,pop,post-teen pop
XO Tour Llif3,Lil Uzi Vert,84,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c,2017-08-25,pop,electropop
Old Town Road - Remix,Lil Nas X,90,https://i.scdn.co/image/ab67616d0000b273c0e7bf5cdd630f314f20586a,2019-06-21,pop,post-teen pop
I Don't Care (with Justin Bieber),Ed Sheeran,84,https://i.scdn.co/image/ab67616d0000b27357cc434093fd4b6af7500fd8,2019-07-12,pop,post-teen pop
Wow.,Post Malone,44,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,2018-12-24,pop,electropop
Hola - Remix,Dalex,91,https://i.scdn.co/image/ab67616d0000b2738f0f79f8cb6c758356ec53b6,2019-11-01,latin,latin pop
Higher Love,Kygo,87,https://i.scdn.co/image/ab67616d0000b2737c8977a0ad3a3a0627be9ed7,2019-06-28,pop,dance pop
This City,Sam Fischer,76,https://i.scdn.co/image/ab67616d0000b27370e6c775adc0f71e6bef0a9b,2019-12-13,latin,latin pop
How Do You Sleep?,Sam Smith,91,https://i.scdn.co/image/ab67616d0000b27376bc1c851462191faec76bf8,2019-07-19,pop,post-teen pop
Something Just Like This,The Chainsmokers,83,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,2017-04-07,pop,dance pop
LA CANCIÓN,J Balvin,91,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,2019-06-28,pop,dance pop
Ransom,Lil Tecca,90,https://i.scdn.co/image/ab67616d0000b273bd69bbde4aeee723d6d08058,2019-08-30,pop,post-teen pop
Sucker,Jonas Brothers,87,https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597,2019-06-07,pop,post-teen pop
Beautiful People (feat. Khalid),Ed Sheeran,85,https://i.scdn.co/image/ab67616d0000b273358f874d5d31e76a8fe3f6d0,2019-07-12,pop,post-teen pop
Yellow,Coldplay,81,https://i.scdn.co/image/ab67616d0000b27345e735e3fc6f0c157d484982,2000-07-10,pop,electropop
Silence,Marshmello,81,https://i.scdn.co/image/ab67616d0000b273f33ba583059dc2f7d08bf2b8,2017-08-11,pop,dance pop
Yeah! (feat. Lil Jon & Ludacris),Usher,79,https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da,2004-03-23,pop,post-teen pop
I'm Not The Only One,Sam Smith,15,https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae,2014-01-01,r&b,urban contemporary
HUMBLE.,Kendrick Lamar,12,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,2017-04-14,pop,post-teen pop
Let You Down,NF,83,https://i.scdn.co/image/ab67616d0000b273cd733919ee57d0cc466e152f,2017-10-06,latin,tropical
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,87,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,2019-09-06,pop,post-teen pop
Lalala,Y2K,91,https://i.scdn.co/image/ab67616d0000b2738a6ccb507dd6a66f7f6e2440,2019-06-28,pop,post-teen pop
Look At Me!,XXXTENTACION,79,https://i.scdn.co/image/ab67616d0000b27371af28545729f60b3eca66f7,2017-02-20,rap,southern hip hop
ocean eyes,Billie Eilish,85,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,2017-12-22,r&b,urban contemporary
Goodbyes (feat. Young Thug),Post Malone,90,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,2019-09-06,latin,latin pop
El Efecto - Remix,Rauw Alejandro,76,https://i.scdn.co/image/ab67616d0000b2739ebb3103889bd70d30d65bdc,2019-12-13,rap,trap
Callaita,Bad Bunny,90,https://i.scdn.co/image/ab67616d0000b2734aef420e62863ebf622c27f5,2019-05-31,pop,post-teen pop
Billie Jean,Michael Jackson,81,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,1982-11-30,rock,classic rock
